entry_id,repetition,line_id,abstraction_similarity,surface_similarity
E002,2,L063,0.25630611,0.16055013
E002,2,L064,0.40873601,0.35477783
E002,2,L065,0.27471857,0.29820877
E002,2,L066,0.27052442,0.20276208
E002,2,L067,0.29884555,0.15738668
E002,2,L068,0.3311663,0.16451575
E002,2,L071,0.25345154,0.31770129
E002,2,L072,0.2812561,0.15500313
E002,2,L073,0.20147077,0.20773089
E002,2,L074,0.24575061,0.21420544
E002,2,L075,0.32952865,0.30349209
E002,2,L076,0.3206108,0.20657688
E002,2,L077,0.39386153,0.2865621
E002,2,L078,0.25719049,0.29678034
E002,2,L081,0.29112063,0.23443097
E002,2,L082,0.27663365,0.32937063
E002,2,L083,0.30330163,0.25868578
E002,2,L084,0.26985393,0.23607764
E002,2,L085,0.37508012,0.18450631
E002,2,L086,0.1733862,0.29488232
E002,2,L087,0.31436443,0.28955144
E002,2,L088,0.28063833,0.24144182
E002,2,L091,0.34741472,0.35666864
E002,2,L092,0.28974047,0.39747815
E002,2,L093,0.23553036,0.26837794
E002,2,L094,0.22509087,0.25447149
E002,2,L095,0.29763542,0.36350175
E002,2,L096,0.26076329,0.37447587
E002,2,L097,0.35620176,0.32923835
E002,2,L098,0.21792469,0.34693987
E002,2,L101,0.45774265,0.32990119
E002,2,L102,0.34088285,0.20960668
E002,2,L103,0.32942023,0.28172923
E002,2,L104,0.28909887,0.24484161
E002,2,L105,0.38272138,0.22266731
E002,2,L106,0.30356261,0.34063454
E002,2,L107,0.31543257,0.30508488
E002,2,L108,0.29790298,0.19984282
E002,2,L111,0.1824558,0.28083212
E002,2,L112,0.26719112,0.17488368
E002,2,L113,0.32309066,0.23658237
E002,2,L114,0.33698496,0.31752712
E002,2,L115,0.23455998,0.15046225
E002,2,L116,0.31006124,0.31884377
E002,2,L117,0.2817937,0.29116351
E002,2,L118,0.3724258,0.20394497
E002,3,L001,0.36404161,0.26433557
E002,3,L002,0.37521367,0.31740977
E002,3,L003,0.38965435,0.21647973
E002,3,L004,0.39661678,0.21412166
E002,3,L005,0.37033536,0.37536913
E002,3,L006,0.35757094,0.34086445
E002,3,L007,0.20531829,0.17546218
E002,3,L008,0.36610091,0.40767597
E002,3,L011,0.32762534,0.30286817
E002,3,L012,0.42849513,0.30736648
E002,3,L013,0.42776164,0.25660457
E002,3,L014,0.48092177,0.35131283
E002,3,L015,0.34691476,0.27599625
E002,3,L016,0.34224182,0.16944748
E002,3,L017,0.30353097,0.13209602
E002,3,L018,0.27008388,0.24387055
E002,3,L021,0.30061237,0.26650185
E002,3,L022,0.34273183,0.2493946
E002,3,L023,0.35677346,0.14223019
E002,3,L024,0.29888451,0.47453213
